transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000530,card_00663,2026-01-16T12:34:41Z,atm_withdrawal,False,False,dev_003579,SG,4439
txn_0000531,card_00818,2026-01-29T07:55:07Z,atm_withdrawal,False,False,dev_001384,GB,1203
txn_0000532,card_00735,2026-01-12T03:30:57Z,online_retail,True,False,dev_001308,AE,13197
txn_0000533,card_00088,2026-01-14T02:05:34Z,utilities,True,False,dev_001841,DE,16249
txn_0000534,card_00421,2026-01-24T15:22:55Z,grocery,False,False,dev_004294,US,8256
txn_0000535,card_00798,2026-01-03T02:12:08Z,restaurant,False,False,dev_001711,AE,4711
txn_0000536,card_00551,2026-01-28T16:17:21Z,online_retail,False,False,dev_003438,AE,2042
txn_0000537,card_00665,2026-01-29T16:07:19Z,travel,False,False,dev_001052,IN,10626
txn_0000538,card_00504,2026-01-19T09:11:09Z,fuel,True,False,dev_001365,IN,8030
txn_0000539,card_00069,2026-01-28T04:45:02Z,travel,False,False,dev_003312,GB,30774
txn_0000540,card_00367,2026-01-15T23:26:47Z,pharmacy,True,False,dev_002890,IN,5649
txn_0000541,card_00706,2026-01-14T16:44:37Z,restaurant,True,False,dev_000501,AE,1690
txn_0000542,card_00421,2026-01-17T10:01:51Z,atm_withdrawal,False,False,dev_003130,DE,17755
txn_0000543,card_00351,2026-01-11T05:12:21Z,restaurant,True,False,dev_002015,GB,12351
txn_0000544,card_00634,2026-01-24T22:49:35Z,pharmacy,True,False,dev_004782,GB,5916
txn_0000545,card_00149,2026-01-04T21:34:38Z,travel,False,False,dev_002354,US,27492
txn_0000546,card_00448,2026-01-21T00:49:35Z,fuel,True,False,dev_000726,AE,5356
txn_0000547,card_00147,2026-01-01T02:54:39Z,fuel,False,True,dev_002959,SG,6599
txn_0000548,card_00532,2026-01-28T18:04:22Z,electronics,False,False,dev_001164,GB,594
txn_0000549,card_00692,2026-01-07T01:55:56Z,electronics,True,False,dev_004950,AE,7229
txn_0000550,card_00888,2026-01-14T10:09:34Z,restaurant,False,False,dev_003957,DE,8067
txn_0000551,card_00082,2026-01-06T12:13:07Z,grocery,True,False,dev_003416,AE,7165
txn_0000552,card_00817,2026-01-15T13:30:36Z,travel,True,False,dev_003381,US,10623
txn_0000553,card_00829,2026-01-20T22:15:05Z,utilities,False,False,dev_003098,SG,4954
txn_0000554,card_00538,2026-01-18T15:02:46Z,grocery,True,False,dev_001574,AE,5770
txn_0000555,card_00676,2026-01-21T21:57:40Z,travel,True,False,dev_001892,SG,8027
txn_0000556,card_00480,2026-01-15T16:10:01Z,entertainment,False,False,dev_004748,IN,1200
txn_0000557,card_00323,2026-01-01T12:59:58Z,entertainment,True,False,dev_002748,IN,2350
txn_0000558,card_00592,2026-01-19T05:40:28Z,grocery,True,False,dev_000131,SG,5242
txn_0000559,card_00896,2026-01-21T16:48:28Z,fuel,True,False,dev_004702,US,1915
txn_0000560,card_00866,2026-01-25T10:28:58Z,restaurant,True,False,dev_003041,SG,2677
txn_0000561,card_00851,2026-01-28T19:12:54Z,pharmacy,False,False,dev_000080,US,6059
txn_0000562,card_00325,2026-01-22T01:32:25Z,utilities,True,False,dev_004998,SG,36388
txn_0000563,card_00643,2026-01-13T10:25:41Z,electronics,False,False,dev_003714,AE,4724
txn_0000564,card_00336,2026-01-07T17:14:17Z,utilities,True,False,dev_000907,IN,28604
txn_0000565,card_00247,2026-01-20T15:21:45Z,pharmacy,False,False,dev_002761,DE,15216
txn_0000566,card_00341,2026-01-12T17:45:23Z,utilities,True,False,dev_002946,DE,30128
txn_0000567,card_00420,2026-01-14T21:14:09Z,restaurant,False,False,dev_000397,US,6431
txn_0000568,card_00164,2026-01-29T15:15:34Z,restaurant,False,False,dev_004960,US,2961
txn_0000569,card_00560,2026-01-14T18:57:34Z,pharmacy,True,False,dev_001264,US,1304
txn_0000570,card_00074,2026-01-14T08:01:17Z,travel,True,False,dev_001409,DE,2067
txn_0000571,card_00547,2026-01-20T20:32:21Z,fuel,True,False,dev_002568,DE,4365
txn_0000572,card_00714,2026-01-21T04:07:48Z,online_retail,True,False,dev_003129,AE,16534
txn_0000573,card_00591,2026-01-04T21:06:11Z,online_retail,True,False,dev_002354,DE,21343
txn_0000574,card_00131,2026-01-21T15:55:24Z,grocery,True,False,dev_001409,DE,1287
txn_0000575,card_00442,2026-01-07T02:49:17Z,online_retail,True,False,dev_002259,SG,6108
txn_0000576,card_00355,2026-01-07T16:06:07Z,atm_withdrawal,True,False,dev_002994,AE,6447
txn_0000577,card_00375,2026-01-14T16:38:14Z,fuel,True,False,dev_003214,DE,64318
txn_0000578,card_00481,2026-01-06T03:50:49Z,fuel,True,False,dev_000215,AE,7701
txn_0000579,card_00333,2026-01-15T04:43:02Z,travel,True,False,dev_002191,GB,97248
txn_0000580,card_00218,2026-01-06T02:20:34Z,grocery,False,False,dev_002772,SG,8318
txn_0000581,card_00644,2026-01-12T20:52:38Z,utilities,True,True,dev_002773,SG,18059
txn_0000582,card_00488,2026-01-02T11:08:50Z,atm_withdrawal,True,False,dev_004256,GB,7153
txn_0000583,card_00678,2026-01-12T18:48:37Z,online_retail,False,False,dev_001862,GB,1712
txn_0000584,card_00770,2026-01-05T05:42:50Z,entertainment,False,False,dev_000628,GB,5777
txn_0000585,card_00730,2026-01-17T14:19:55Z,fuel,False,False,dev_003002,US,2511
txn_0000586,card_00317,2026-01-18T21:02:44Z,atm_withdrawal,True,False,dev_000558,AE,2760
txn_0000587,card_00018,2026-01-17T03:45:38Z,atm_withdrawal,False,False,dev_004665,US,9617
txn_0000588,card_00493,2026-01-11T13:27:03Z,utilities,True,False,dev_002071,AE,1936
txn_0000589,card_00747,2026-01-30T19:01:20Z,fuel,False,False,dev_003199,DE,8061
txn_0000590,card_00139,2026-01-07T21:53:18Z,pharmacy,True,False,dev_001743,IN,7455
txn_0000591,card_00198,2026-01-12T19:12:34Z,grocery,True,False,dev_003731,IN,5288
txn_0000592,card_00126,2026-01-04T14:15:28Z,restaurant,False,False,dev_001964,DE,952
txn_0000593,card_00692,2026-01-06T01:26:58Z,electronics,True,False,dev_004933,IN,6045
txn_0000594,card_00786,2026-01-28T15:51:44Z,fuel,True,False,dev_003627,SG,717
txn_0000595,card_00419,2026-01-30T04:19:12Z,fuel,True,False,dev_001598,GB,11136
txn_0000596,card_00648,2026-01-27T05:43:50Z,pharmacy,True,False,dev_002537,US,3590
txn_0000597,card_00807,2026-01-20T09:42:45Z,fuel,False,False,dev_004443,SG,53145
txn_0000598,card_00756,2026-01-01T10:20:50Z,entertainment,True,False,dev_000445,DE,18236
txn_0000599,card_00045,2026-01-12T15:01:26Z,fuel,True,False,dev_001259,AE,1236
txn_0000600,card_00517,2026-01-02T04:11:15Z,electronics,False,False,dev_004914,AE,10804
txn_0000601,card_00045,2026-01-18T02:49:30Z,grocery,True,False,dev_002171,GB,17767
txn_0000602,card_00380,2026-01-06T16:15:18Z,fuel,False,False,dev_001568,IN,15877
txn_0000603,card_00109,2026-01-03T12:26:57Z,pharmacy,True,False,dev_004842,DE,52406
txn_0000604,card_00440,2026-01-28T00:07:27Z,pharmacy,True,False,dev_001796,GB,16147
txn_0000605,card_00653,2026-01-07T17:28:20Z,pharmacy,True,False,dev_004532,IN,13253
txn_0000606,card_00683,2026-01-28T00:34:02Z,fuel,False,False,dev_004868,IN,6787
txn_0000607,card_00734,2026-01-18T18:32:38Z,electronics,True,False,dev_000283,AE,3354
txn_0000608,card_00507,2026-01-15T16:14:27Z,atm_withdrawal,True,False,dev_000857,IN,30919
txn_0000609,card_00430,2026-01-29T07:43:16Z,grocery,True,False,dev_000508,DE,2869
txn_0000610,card_00694,2026-01-01T00:19:48Z,fuel,True,False,dev_004193,DE,10777
txn_0000611,card_00817,2026-01-17T19:03:16Z,utilities,True,False,dev_004696,GB,22911
txn_0000612,card_00598,2026-01-06T02:23:29Z,electronics,False,False,dev_003314,IN,15689
txn_0000613,card_00091,2026-01-26T23:11:35Z,online_retail,True,False,dev_000715,AE,22244
txn_0000614,card_00436,2026-01-21T17:05:53Z,entertainment,True,False,dev_002733,DE,13076
txn_0000615,card_00206,2026-01-15T05:59:03Z,atm_withdrawal,True,False,dev_001375,IN,7623
txn_0000616,card_00425,2026-01-04T19:24:47Z,travel,True,False,dev_001279,DE,9425
txn_0000617,card_00004,2026-01-12T13:25:25Z,online_retail,False,False,dev_004391,US,9739
txn_0000618,card_00096,2026-01-07T15:38:18Z,electronics,False,False,dev_001710,US,54082
txn_0000619,card_00668,2026-01-23T17:35:34Z,restaurant,False,False,dev_000223,SG,12502
txn_0000620,card_00011,2026-01-15T21:31:26Z,utilities,True,False,dev_004877,GB,1365
txn_0000621,card_00084,2026-01-28T20:22:41Z,online_retail,True,False,dev_003858,AE,4213
txn_0000622,card_00723,2026-01-21T22:27:51Z,pharmacy,False,False,dev_003489,DE,7728
txn_0000623,card_00098,2026-01-23T10:16:16Z,atm_withdrawal,True,True,dev_000525,US,79773
txn_0000624,card_00222,2026-01-09T12:23:00Z,electronics,True,False,dev_001644,DE,2653
